strategy,seed,total_examples,total_pairs,train_examples,validation_examples,test_examples,cross_split_pairs,cross_split_rate
pair_controlled,13,5700,2850,3990,570,1140,0,0.0
pair_controlled,21,5700,2850,3990,570,1140,0,0.0
pair_controlled,40,5700,2850,3990,570,1140,0,0.0
pair_controlled,42,5700,2850,3990,570,1140,0,0.0
pair_controlled,73,5700,2850,3990,570,1140,0,0.0
max_cross_split,13,5700,2850,3990,570,1140,1710,0.6
max_cross_split,21,5700,2850,3990,570,1140,1710,0.6
max_cross_split,40,5700,2850,3990,570,1140,1710,0.6
max_cross_split,42,5700,2850,3990,570,1140,1710,0.6
max_cross_split,73,5700,2850,3990,570,1140,1710,0.6
