condition,split_seed,model_seed,accuracy,precision_non_pun,recall_non_pun,f1_non_pun,precision_pun,recall_pun,f1_pun,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,tp,tn,fp,fn,test_loss,best_validation_f1_macro,train_runtime,fn_instances,annotated_fn_instances,missing_fn_annotations,none,homophone_only,homograph_only,both,total_punning_signs_in_fn
original,,40,0.706140350877193,0.7886977886977887,0.5631578947368421,0.6571136131013307,0.660300136425648,0.8491228070175438,0.7429009976976209,0.7244989625617184,0.706140350877193,0.7000073053994758,0.7244989625617183,0.706140350877193,0.7000073053994756,484,321,249,86,0.6184712648391724,0.7037793027449408,494.3516,86,86,0,32,17,0,39,88
pair_controlled,13,40,0.7666666666666667,0.75,0.8,0.7741935483870968,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.7678571428571428,0.7666666666666666,0.7664071190211346,0.7678571428571429,0.7666666666666667,0.7664071190211346,418,456,114,152,0.6094351410865784,0.8068249038745934,827.1757,152,152,0,71,25,1,55,152
pair_controlled,21,40,0.762280701754386,0.7392,0.8105263157894737,0.7732217573221757,0.7902912621359224,0.7140350877192982,0.7502304147465437,0.7647456310679612,0.762280701754386,0.7617260860343598,0.7647456310679612,0.762280701754386,0.7617260860343598,407,462,108,163,0.4954427182674408,0.7793263646922184,656.5122,163,163,0,66,30,3,67,166
pair_controlled,40,40,0.756140350877193,0.740924092409241,0.787719298245614,0.7636054421768708,0.7734082397003745,0.724561403508772,0.7481884057971014,0.7571661660548077,0.756140350877193,0.7558969239869862,0.7571661660548077,0.756140350877193,0.755896923986986,413,449,121,157,0.6460131406784058,0.7451237375684219,985.1882,157,157,0,72,22,2,65,161
pair_controlled,42,40,0.756140350877193,0.7491467576791809,0.7701754385964912,0.759515570934256,0.7635379061371841,0.7421052631578947,0.7526690391459074,0.7563423319081826,0.7561403508771929,0.7560923050400817,0.7563423319081825,0.756140350877193,0.7560923050400818,423,439,131,147,0.9301115274429321,0.7859622771594602,986.1394,147,147,0,69,27,2,52,150
pair_controlled,73,40,0.756140350877193,0.7192192192192193,0.8403508771929824,0.7750809061488673,0.8080168776371308,0.6719298245614035,0.7337164750957854,0.763618048428175,0.7561403508771929,0.7543986906223263,0.763618048428175,0.756140350877193,0.7543986906223263,383,479,91,187,0.5523585081100464,0.7725071855305536,821.5914,187,187,0,81,30,0,81,192
pair_controlled,101,40,0.7385964912280701,0.7098765432098766,0.8070175438596491,0.7553366174055829,0.7764227642276422,0.6701754385964912,0.71939736346516,0.7431496537187594,0.7385964912280701,0.7373669904353715,0.7431496537187594,0.7385964912280701,0.7373669904353715,382,460,110,188,1.4773921966552734,0.7731752686082345,985.108,188,188,0,90,23,0,78,191
max_cross_split,13,40,0.6973684210526315,0.6884422110552764,0.7210526315789474,0.7043701799485861,0.7071823204419889,0.6736842105263158,0.6900269541778976,0.6978122657486326,0.6973684210526316,0.6971985670632419,0.6978122657486326,0.6973684210526315,0.6971985670632419,384,411,159,186,0.5658262968063354,0.6910911576691423,716.2158,186,186,0,97,38,0,53,188
max_cross_split,21,40,0.7087719298245614,0.6765578635014837,0.8,0.7331189710610932,0.7553648068669528,0.6175438596491228,0.6795366795366795,0.7159613351842182,0.7087719298245614,0.7063278252988864,0.7159613351842182,0.7087719298245614,0.7063278252988864,352,456,114,218,0.5932919979095459,0.7299285545068017,491.353,218,218,0,102,40,0,82,224
max_cross_split,40,40,0.7070175438596491,0.7201492537313433,0.6771929824561403,0.6980108499095841,0.695364238410596,0.7368421052631579,0.7155025553662692,0.7077567460709697,0.7070175438596491,0.7067567026379267,0.7077567460709697,0.7070175438596491,0.7067567026379266,420,386,184,150,0.618591845035553,0.7210449042909776,495.175,150,150,0,62,25,0,66,153
max_cross_split,42,40,0.6868421052631579,0.6587183308494784,0.775438596491228,0.7123287671232876,0.7270788912579957,0.5982456140350877,0.6564003849855631,0.6928986110537371,0.6868421052631579,0.6843645760544254,0.6928986110537371,0.6868421052631579,0.6843645760544254,341,442,128,229,0.5949143767356873,0.6790901925458844,492.3699,229,229,0,98,38,1,97,234
max_cross_split,73,40,0.6535087719298246,0.6446280991735537,0.6842105263157895,0.6638297872340425,0.6635514018691588,0.6228070175438597,0.6425339366515838,0.6540897505213563,0.6535087719298246,0.6531818619428131,0.6540897505213563,0.6535087719298246,0.6531818619428131,355,390,180,215,1.1386977434158325,0.6515333028689992,820.0082,215,215,0,107,37,0,79,223
max_cross_split,101,40,0.6921052631578948,0.6527196652719666,0.8210526315789474,0.7272727272727273,0.7588652482269503,0.5631578947368421,0.6465256797583081,0.7057924567494585,0.6921052631578948,0.6868992035155177,0.7057924567494583,0.6921052631578948,0.6868992035155177,321,468,102,249,0.6438416838645935,0.6845859775937468,492.9517,249,249,0,134,47,0,74,255
