condition,split_seed,model_seed,fn_instances,annotated_fn_instances,missing_fn_annotations,none,homophone_only,homograph_only,both,total_punning_signs_in_fn
original,,40,86,86,0,32,17,0,39,88
pair_controlled,13,40,152,152,0,71,25,1,55,152
pair_controlled,21,40,163,163,0,66,30,3,67,166
pair_controlled,40,40,157,157,0,72,22,2,65,161
pair_controlled,42,40,147,147,0,69,27,2,52,150
pair_controlled,73,40,187,187,0,81,30,0,81,192
max_cross_split,13,40,186,186,0,97,38,0,53,188
max_cross_split,21,40,218,218,0,102,40,0,82,224
max_cross_split,40,40,150,150,0,62,25,0,66,153
max_cross_split,42,40,229,229,0,98,38,1,97,234
max_cross_split,73,40,215,215,0,107,37,0,79,223
