loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6456357539297345,11.415107727050781,1.8530066815144767e-05,1.0,499,,,,,,,,,,,,,,,,
,,,1.0,499,0.6492151021957397,0.6491228070175439,0.6825794003708114,0.6491228070175439,0.6322770437654831,0.6825794003708116,0.6491228070175439,0.6322770437654831,6.1854,92.153,11.64,,,,,
0.4978268304186498,12.847320556640625,1.4825538233110617e-05,2.0,998,,,,,,,,,,,,,,,,
,,,2.0,998,0.7331463694572449,0.6508771929824562,0.6531875,0.6508771929824562,0.6495558816714297,0.6531874999999999,0.6508771929824562,0.6495558816714297,6.1425,92.796,11.722,,,,,
0.3617664405960358,9.733633041381836,1.1121009651076466e-05,3.0,1497,,,,,,,,,,,,,,,,
,,,3.0,1497,1.1552166938781738,0.6526315789473685,0.6545803668283439,0.6526315789473685,0.6515333028689992,0.6545803668283438,0.6526315789473685,0.6515333028689992,6.1617,92.506,11.685,,,,,
0.267502473208135,24.910940170288086,7.416481069042318e-06,4.0,1996,,,,,,,,,,,,,,,,
,,,4.0,1996,1.6159031391143799,0.6192982456140351,0.6226333907056799,0.619298245614035,0.6166921296224561,0.6226333907056799,0.6192982456140351,0.6166921296224561,6.1194,93.147,11.766,,,,,
0.18322452705704378,0.07862615585327148,3.711952487008166e-06,5.0,2495,,,,,,,,,,,,,,,,
,,,5.0,2495,2.18343448638916,0.6175438596491228,0.6265424326366155,0.6175438596491228,0.610621576565849,0.6265424326366155,0.6175438596491228,0.610621576565849,6.1849,92.16,11.641,,,,,
,,,5.0,2495,,,,,,,,,,,,820.0082,29.195,3.651,9296015349196800.0,0.3911912050419198
