condition,split_seed,model_seed,accuracy,precision_non_pun,recall_non_pun,f1_non_pun,precision_pun,recall_pun,f1_pun,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,tp,tn,fp,fn,fn_instances,annotated_fn_instances,missing_fn_annotations,none,homophone_only,homograph_only,both,total_punning_signs_in_fn
original,,40,0.7973684210526316,0.7927461139896373,0.8052631578947368,0.7989556135770235,0.8021390374331551,0.7894736842105263,0.7957559681697612,0.7974425757113962,0.7973684210526315,0.7973557908733924,0.7974425757113962,0.7973684210526316,0.7973557908733924,450,459,111,120,120,120,0,71,24,1,26,122
pair_controlled,13,40,0.4675438596491228,0.47784431137724553,0.7,0.5679715302491103,0.43934426229508194,0.23508771929824562,0.3062857142857143,0.45859428683616377,0.4675438596491228,0.4371286222674123,0.45859428683616377,0.4675438596491228,0.4371286222674123,134,399,171,436,436,436,0,276,89,1,77,443
pair_controlled,21,40,0.4666666666666667,0.47181008902077154,0.5578947368421052,0.5112540192926045,0.4592274678111588,0.37543859649122807,0.41312741312741313,0.4655187784159652,0.4666666666666667,0.46219071621000885,0.4655187784159652,0.4666666666666667,0.4621907162100088,214,318,252,356,356,356,0,230,67,1,66,364
pair_controlled,40,40,0.4649122807017544,0.4742268041237113,0.6456140350877193,0.5468053491827637,0.44505494505494503,0.28421052631578947,0.3468950749464668,0.4596408745893282,0.4649122807017544,0.4468502120646153,0.4596408745893282,0.4649122807017544,0.4468502120646152,162,368,202,408,408,408,0,253,81,1,83,418
pair_controlled,42,40,0.4710526315789474,0.4807916181606519,0.724561403508772,0.5780265920223933,0.4412811387900356,0.21754385964912282,0.29142185663924797,0.46103637847534373,0.4710526315789474,0.4347242243308206,0.46103637847534373,0.4710526315789474,0.43472422433082064,124,413,157,446,446,446,0,291,90,1,75,457
pair_controlled,73,40,0.4649122807017544,0.47641509433962265,0.7087719298245614,0.5698166431593794,0.4315068493150685,0.22105263157894736,0.2923433874709977,0.45396097182734557,0.4649122807017544,0.4310800153151886,0.4539609718273456,0.4649122807017544,0.4310800153151886,126,404,166,444,444,444,0,288,92,0,76,456
pair_controlled,101,40,0.4885964912280702,0.49243306169965073,0.7421052631578947,0.5920223932820154,0.47686832740213525,0.23508771929824562,0.31492361927144535,0.484650694550893,0.48859649122807014,0.4534730062767304,0.48465069455089294,0.4885964912280702,0.45347300627673043,134,423,147,436,436,436,0,264,88,0,91,443
max_cross_split,13,40,0.962280701754386,0.9614711033274956,0.9631578947368421,0.9623137598597721,0.9630931458699473,0.9614035087719298,0.9622475856014048,0.9622821245987214,0.962280701754386,0.9622806727305884,0.9622821245987213,0.962280701754386,0.9622806727305885,548,549,21,22,22,22,0,17,4,0,3,24
max_cross_split,21,40,0.9657894736842105,0.9783783783783784,0.9526315789473684,0.9653333333333334,0.9538461538461539,0.9789473684210527,0.9662337662337662,0.9661122661122661,0.9657894736842105,0.9657835497835499,0.9661122661122662,0.9657894736842105,0.9657835497835497,558,543,27,12,12,12,0,6,3,0,5,14
max_cross_split,40,40,0.9570175438596491,0.9610619469026549,0.9526315789473684,0.9568281938325991,0.9530434782608695,0.9614035087719298,0.9572052401746725,0.9570527125817623,0.9570175438596491,0.9570167170036358,0.9570527125817622,0.9570175438596491,0.9570167170036357,548,543,27,22,22,22,0,22,2,0,2,26
max_cross_split,42,40,0.9596491228070175,0.9612676056338029,0.9578947368421052,0.9595782073813708,0.958041958041958,0.9614035087719298,0.9597197898423818,0.9596547818378804,0.9596491228070175,0.9596489986118764,0.9596547818378803,0.9596491228070175,0.9596489986118765,548,546,24,22,22,22,0,12,7,0,4,23
max_cross_split,73,40,0.9587719298245614,0.966131907308378,0.9508771929824561,0.9584438549955792,0.9516407599309153,0.9666666666666667,0.959094865100087,0.9588863336196467,0.9587719298245614,0.9587693600478331,0.9588863336196466,0.9587719298245614,0.9587693600478332,551,542,28,19,19,19,0,8,3,0,8,19
max_cross_split,101,40,0.9570175438596491,0.951473136915078,0.9631578947368421,0.9572798605056669,0.9626998223801065,0.9508771929824561,0.9567519858781994,0.9570864796475922,0.9570175438596491,0.9570159231919332,0.9570864796475923,0.9570175438596491,0.9570159231919332,542,549,21,28,28,28,0,24,6,0,3,33
